description,amount,category,type,date
Paid house rent confirmed,46521,Rent,expense,2024-07-14
Furniture bought for new house completed,10271,Shopping,expense,2023-05-25
rapido bike ride to friend's house this month,17447,Travel,expense,2025-07-26
breakfast at rooftop cafe,927,Food,expense,2026-07-08
Internship stipend credited confirmed,197105,Salary,income,2023-09-12
music concert tickets booked - noted,224,Entertainment,expense,2024-01-14
Dinner at food court,1958,Food,expense,2025-11-01
reimbursement credited by company this month,9296,Others,income,2023-10-08
shoes bought from store this month,5615,Shopping,expense,2024-01-25
mcDonald's dinner order via PhonePe,127,Food,expense,2025-03-21
HOUSE RENT FOR AUGUST urgent,42994,Rent,expense,2024-12-13
flat rent for the month of february urgent,34221,Rent,expense,2023-02-08
loan emi payment,2854,Others,expense,2026-04-29
Ordered pizza from Dominos,2207,Food,expense,2023-01-03
Weekly groceries from local kirana store via PhonePe,334,Food,expense,2023-04-13
Paying guest accommodation rent this month,5925,Rent,expense,2025-12-12
Bought clothes from Zara,48900,Shopping,expense,2024-01-25
Movie tickets at PVR via PhonePe,2671,Entertainment,expense,2026-05-14
home loan EMI paid,20464,Others,expense,2023-05-15
JIO RECHARGE,39649,Others,expense,2024-04-19
Family movie night at local multiplex today,5259,Entertainment,expense,2026-07-29
Salary credited for September 2025 - noted,44948,Salary,income,2025-11-18
Weekly groceries from Reliance Fresh completed,2252,Food,expense,2025-02-10
Part time job salary credited done,38622,Salary,income,2023-04-13
WEEKLY GROCERIES FROM SPENCER'S,197,Food,expense,2024-04-22
SALARY CREDITED FOR JUNE 2023,75541,Salary,income,2023-10-05
amazon purchase,42826,Shopping,expense,2026-08-11
behrouz Biryani order for family via UPI,1951,Food,expense,2023-12-20
rent paid for 2BHK apartment,36054,Rent,expense,2023-10-09
Bought electronics from Vijay Sales again,6572,Shopping,expense,2023-04-20
Train ticket booked to Hyderabad via IRCTC,2874,Travel,expense,2025-03-16
Salary credited for November 2026 - paid online,71286,Salary,income,2024-06-27
Salary credited for March 2024 confirmed,90224,Salary,income,2024-04-10
Overtime pay credited for family,196631,Salary,income,2023-10-21
Kulfi from street vendor completed,1386,Food,expense,2023-12-30
Overtime pay credited urgent,42668,Salary,income,2025-12-24
PG rent payment (cash),34818,Rent,expense,2023-12-31
ngo donation made,29708,Others,expense,2023-10-03
rent paid for july - noted,29941,Rent,expense,2023-07-19
Flat rent for the month of March done,26195,Rent,expense,2026-03-25
New phone purchase done,14144,Shopping,expense,2023-11-08
House rent for October again,36555,Rent,expense,2023-11-15
Jio recharge done,29987,Others,expense,2023-01-25
monthly metro pass recharge,15072,Travel,expense,2023-05-20
Paid house rent urgent,10914,Rent,expense,2024-04-27
auto rickshaw fare to airport,7640,Travel,expense,2026-01-09
Shopping at Max Fashion completed,37774,Shopping,expense,2025-12-06
Concert tickets booked this month,2341,Entertainment,expense,2026-01-23
Movie tickets at local multiplex - noted,269,Entertainment,expense,2023-01-31
Cab fare to Delhi for business trip via UPI,14837,Travel,expense,2024-12-30
Society maintenance fee paid - paid online,7985,Others,expense,2025-04-20
salary credited by HR department confirmed,182213,Salary,income,2024-01-04
pg rent payment - paid online,28036,Rent,expense,2024-03-25
Amazon shopping haul urgent,43027,Shopping,expense,2025-04-01
Outstation trip cab booking via UPI,4995,Travel,expense,2023-11-07
Refund from Flipkart order,21976,Others,income,2023-08-13
Purchased a backpack again,38349,Shopping,expense,2025-04-26
Bought clothes from Uniqlo confirmed,5760,Shopping,expense,2023-10-26
Winter clothes bought from Uniqlo done,36246,Shopping,expense,2023-05-20
quick snack from swiggy,2623,Food,expense,2023-11-09
Rapido bike ride to friend's house confirmed,14301,Travel,expense,2025-06-02
Rent paid for January - paid online,48278,Rent,expense,2024-07-09
Salary credited for November 2023 this month,21842,Salary,income,2023-02-05
Rent transferred to society office via UPI confirmed,23079,Rent,expense,2023-05-07
House rent for November today,15534,Rent,expense,2025-03-07
Salary credited for March 2026 completed,135951,Salary,income,2024-08-16
Salary credited for October 2025 (cash),42373,Salary,income,2023-07-18
Grocery shopping at Big Bazaar,964,Food,expense,2024-06-25
winter clothes bought from levis,46540,Shopping,expense,2023-11-22
Commission received from sale done,23295,Others,income,2025-11-18
Stock market profit withdrawn - noted,21056,Others,income,2025-07-24
late night Dominos order,1841,Food,expense,2023-08-24
Zomato order for family confirmed,2353,Food,expense,2024-05-26
House rent for March,14581,Rent,expense,2025-09-17
Car wash payment done,6004,Travel,expense,2024-08-22
Rental car booking for trip via UPI,19345,Travel,expense,2024-12-27
salary credited for october 2026,98732,Salary,income,2026-04-30
Shopping at Van Heusen - noted,25715,Shopping,expense,2023-07-15
bought a smartwatch done,18166,Shopping,expense,2024-05-24
new outfit purchased from uniqlo confirmed,17869,Shopping,expense,2023-05-03
Monthly pay credited to account again,136353,Salary,income,2023-02-10
FESTIVE SALE SHOPPING ON SNAPDEAL (cash),36992,Shopping,expense,2023-08-27
movie tickets at carnival cinemas,4796,Entertainment,expense,2023-07-22
contract job payment credited,180362,Salary,income,2023-08-08
Bought gifts for friend's wedding this month,44024,Shopping,expense,2026-02-09
Cab fare to Chandigarh for business trip confirmed,11179,Travel,expense,2023-07-18
Lunch with friends at friend's place,1431,Food,expense,2025-02-19
Flight ticket booking to Chennai - paid online,14489,Travel,expense,2025-06-25
salary credited for april 2026 today,167676,Salary,income,2026-01-12
Salary credited for February 2025 this month,159892,Salary,income,2025-02-22
house rent for September,47541,Rent,expense,2026-01-07
Sold old mobile phone - payment received today,36957,Others,income,2026-06-05
ELECTRICITY BILL PAYMENT completed,26917,Others,expense,2026-02-21
FAMILY MOVIE NIGHT AT PVR,3541,Entertainment,expense,2025-04-04
Winter clothes bought from Pantaloons,30199,Shopping,expense,2024-02-15
COMMISSION RECEIVED FROM SALE urgent,834,Others,income,2024-01-05
winter clothes bought from Pantaloons today,24199,Shopping,expense,2024-09-27
family movie night at carnival cinemas again,8464,Entertainment,expense,2023-07-15
Freelance project payment received,34005,Others,income,2025-05-15
temple donation completed,17501,Others,expense,2024-06-12
Ola cab booking to client meeting via GPay,4579,Travel,expense,2025-08-30
uber ride to market done,17492,Travel,expense,2023-04-09
Breakfast at dhaba,2846,Food,expense,2024-02-08
Prize money received from contest - paid online,27369,Others,income,2023-07-18
Meesho shopping haul - noted,41587,Shopping,expense,2024-10-30
New outfit purchased from Zara via GPay,23879,Shopping,expense,2025-03-10
Monthly grocery haul at Reliance Fresh for family,561,Food,expense,2024-11-08
Weekend brunch at rooftop cafe done,1595,Food,expense,2023-08-22
salary credited for august 2026 urgent,77487,Salary,income,2023-02-03
bought skincare products urgent,13161,Shopping,expense,2026-05-27
Mobile phone repair payment - noted,39506,Others,expense,2023-06-13
Tax refund credited done,39308,Others,income,2024-02-16
House rent for April today,7479,Rent,expense,2025-03-10
Salary credited by HR department for family,152004,Salary,income,2025-03-20
McDonald's food delivery urgent,2559,Food,expense,2024-10-01
zoo entry tickets for family this month,5337,Entertainment,expense,2026-01-04
Rent paid for 2BHK apartment - noted,34381,Rent,expense,2025-06-12
bought skincare products confirmed,10470,Shopping,expense,2025-02-26
SALARY CREDITED FOR DECEMBER 2024,115150,Salary,income,2026-01-31
Office rent paid confirmed,29573,Rent,expense,2025-11-19
Weekend movie outing at local multiplex done,594,Entertainment,expense,2024-06-23
House rent for August,24135,Rent,expense,2026-01-26
Winter clothes bought from Van Heusen this month,20775,Shopping,expense,2023-04-27
PlayStation Plus subscription urgent,2302,Entertainment,expense,2026-08-16
Salary credited for June 2026 confirmed,59770,Salary,income,2025-03-05
Salary credited for August 2026 urgent,185105,Salary,income,2025-09-20
CHAAYOS DINNER ORDER,1907,Food,expense,2025-07-23
Family dinner at roadside stall,2711,Food,expense,2024-07-21
Train ticket booked to Chandigarh via IRCTC completed,17054,Travel,expense,2024-06-22
salary credited for january 2026 (cash),127679,Salary,income,2025-02-22
Salary credited for September 2026 for family,113985,Salary,income,2023-03-19
FREELANCE PROJECT PAYMENT RECEIVED,27786,Others,income,2024-03-17
THEME PARK ANNUAL PASS,8305,Entertainment,expense,2023-05-24
Bought books online today,39630,Shopping,expense,2023-08-09
rapido bike ride to railway station via PhonePe,15795,Travel,expense,2023-03-11
Train ticket booked to Pune via IRCTC completed,1035,Travel,expense,2025-03-13
Salary credited for August 2023 again,189136,Salary,income,2023-07-21
salary credited for January 2026,188160,Salary,income,2026-03-27
vet bill for pet checkup,20408,Others,expense,2023-12-04
OTT platform subscription renewal via UPI,1756,Entertainment,expense,2026-06-08
OLA CAB BOOKING TO OFFICE,13719,Travel,expense,2026-01-02
pizza hut dinner order,1442,Food,expense,2023-10-31
Salary credited for October 2025 done,163214,Salary,income,2024-09-18
ferry ticket booking again,5025,Travel,expense,2023-07-13
Home loan EMI paid - paid online,26475,Others,expense,2023-04-01
Cab fare to airport,17096,Travel,expense,2023-10-11
Movie tickets at Carnival Cinemas - noted,8132,Entertainment,expense,2024-11-03
comic con tickets booked urgent,3743,Entertainment,expense,2023-06-11
Flipkart purchase confirmed,38976,Shopping,expense,2026-04-14
Airtel mobile recharge,32899,Others,expense,2024-11-20
Weekend brunch at friend's place confirmed,361,Food,expense,2024-06-22
video game purchase on Steam this month,6187,Entertainment,expense,2023-07-08
rent paid for may today,39657,Rent,expense,2024-03-20
YouTube Premium subscription again,1011,Entertainment,expense,2025-11-28
Rent transferred to flat owner via UPI via PhonePe,30802,Rent,expense,2023-12-24
Home loan EMI paid - noted,16727,Others,expense,2025-02-11
Dinner at office canteen,359,Food,expense,2025-12-30
festive sale shopping on flipkart,43683,Shopping,expense,2024-10-18
Box8 order for family for family,1724,Food,expense,2024-05-05
Monthly metro pass recharge,2658,Travel,expense,2024-11-02
concert tickets booked,3897,Entertainment,expense,2025-12-30
Salary credited for August 2024 done,16906,Salary,income,2025-05-19
bank locker annual fee paid for family,179,Others,expense,2023-04-07
Auto rickshaw fare to mall urgent,2955,Travel,expense,2024-07-22
Salary credited for June 2023 this month,54855,Salary,income,2024-04-03
outstation trip cab booking,12063,Travel,expense,2023-04-07
Winter clothes bought from Allen Solly this month,18132,Shopping,expense,2026-01-01
Train ticket booked to Kolkata via IRCTC via PhonePe,7040,Travel,expense,2025-01-07
Laptop repair service payment done,21698,Others,expense,2024-05-13
Rent paid for November confirmed,10147,Rent,expense,2025-08-11
Salary credited for November 2026 done,66659,Salary,income,2024-12-13
Online order from Ajio done,36253,Shopping,expense,2023-02-22
Comic con tickets booked via PhonePe,1186,Entertainment,expense,2023-02-10
salary credited for august 2025 - noted,150917,Salary,income,2023-01-11
Uber ride to market,13998,Travel,expense,2026-02-11
Vegetables and fruits from DMart completed,2503,Food,expense,2026-02-03
Bus ticket to Bengaluru for family,19413,Travel,expense,2024-10-19
rent paid for november,43702,Rent,expense,2023-07-28
Bought electronics from Croma - noted,8976,Shopping,expense,2023-04-29
Bought a laptop bag completed,1245,Shopping,expense,2026-06-27
Salary credited for July 2026 today,114162,Salary,income,2024-04-20
Salary credited for March 2025 - noted,141239,Salary,income,2025-10-27
family movie night at local multiplex done,1780,Entertainment,expense,2025-05-10
Diesel refill for car,3907,Travel,expense,2025-07-25
Bus ticket to Lucknow urgent,17788,Travel,expense,2026-07-18
Bus ticket to Delhi urgent,16703,Travel,expense,2023-03-04
Part time job salary credited - noted,176081,Salary,income,2025-07-12
movie tickets at inox done,237,Entertainment,expense,2025-01-29
BOUGHT A LAPTOP BAG,49164,Shopping,expense,2023-03-29
Water park tickets purchased today,1819,Entertainment,expense,2026-07-14
ordered sandwich from kfc,1456,Food,expense,2023-06-09
Cashback from credit card - noted,25097,Others,income,2024-07-31
flight ticket booking to hyderabad,15012,Travel,expense,2025-02-23
Salon haircut and grooming today,10368,Others,expense,2026-06-10
Flight ticket booking to Kolkata urgent,2241,Travel,expense,2026-06-23
Winter clothes bought from Lifestyle,3868,Shopping,expense,2025-07-03
Nykaa purchase confirmed,12308,Shopping,expense,2023-09-15
Rapido bike ride to railway station - noted,18637,Travel,expense,2023-11-11
PAID HOUSE RENT via UPI,49290,Rent,expense,2025-10-05
Music concert tickets booked - noted,6774,Entertainment,expense,2025-02-17
Winter clothes bought from Max Fashion,44232,Shopping,expense,2023-11-13
Vegetables and fruits from local kirana store confirmed,1502,Food,expense,2026-01-23
weekend brunch at rooftop cafe,2651,Food,expense,2025-07-25
Festive sale shopping on Ajio confirmed,36396,Shopping,expense,2026-07-11
Salon and grooming expense for family,5518,Others,expense,2023-01-09
Reimbursement credited by company for family,23572,Others,income,2025-10-04
House rent for March today,22465,Rent,expense,2025-03-14
House rent for April confirmed,47247,Rent,expense,2024-12-12
Salary credited to savings account done,51165,Salary,income,2023-08-15
HOUSE RENT FOR JANUARY,44166,Rent,expense,2024-09-14
Courier delivery charges paid this month,6780,Others,expense,2026-04-03
Vegetables and fruits from Spencer's confirmed,2270,Food,expense,2023-10-02
Salary credited for July 2023,120807,Salary,income,2025-10-31
Netflix subscription via GPay,3911,Entertainment,expense,2023-06-24
Bought snacks for movie night via GPay,580,Food,expense,2025-09-07
Bought clothes from Max Fashion,16981,Shopping,expense,2024-01-10
Electrician service payment via PhonePe,32648,Others,expense,2023-06-14
company payroll deposit completed,176320,Salary,income,2026-07-17
vegetables and fruits from local vegetable market,160,Food,expense,2023-07-11
Kitchen appliances purchased completed,7247,Shopping,expense,2024-07-01
KFC food delivery,353,Food,expense,2025-07-11
Rent paid for August confirmed,39421,Rent,expense,2026-08-06
Jewellery purchase,21660,Shopping,expense,2024-10-07
cab fare to Lucknow for business trip,14716,Travel,expense,2025-03-10
Stock market profit withdrawn urgent,1730,Others,income,2024-10-30
bought clothes from uniqlo urgent,14408,Shopping,expense,2025-11-12
Salon haircut and grooming confirmed,39317,Others,expense,2026-04-11
overtime pay credited,46123,Salary,income,2023-08-29
Salary credited for April 2025 confirmed,141975,Salary,income,2023-08-02
lunch with friends at dhaba done,385,Food,expense,2023-10-18
Train ticket booked to Hyderabad via IRCTC urgent,18977,Travel,expense,2025-10-17
DIVIDEND RECEIVED FROM MUTUAL FUNDS - paid online,24430,Others,income,2023-01-09
Breakfast at rooftop cafe this month,474,Food,expense,2023-01-11
OTT platform subscription renewal,5397,Entertainment,expense,2026-07-23
salary credited for april 2023,134888,Salary,income,2024-10-24
Weekend movie outing at INOX,4593,Entertainment,expense,2024-12-03
Weekend movie outing at INOX completed,6736,Entertainment,expense,2023-05-01
Ordered noodles from McDonald's done,635,Food,expense,2025-01-28
salary credited for august 2025 (cash),97941,Salary,income,2023-02-27
Comic con tickets booked via GPay urgent,8323,Entertainment,expense,2024-11-05
oTT platform subscription renewal completed,3107,Entertainment,expense,2024-06-03
New gadget purchased at Reliance Digital completed,16808,Shopping,expense,2026-05-14
Stock market profit withdrawn done,24826,Others,income,2025-11-23
HEALTH INSURANCE PREMIUM PAID,34893,Others,expense,2024-06-21
Hostel rent payment - paid online,7626,Rent,expense,2023-10-13
Salary credited for June 2026,175093,Salary,income,2023-01-13
Standup comedy show tickets confirmed,4540,Entertainment,expense,2025-03-12
Faasos lunch order via PhonePe,1635,Food,expense,2025-06-01
Electricity bill payment,17984,Others,expense,2025-07-07
sold used books - payment received today,37175,Others,income,2024-02-28
Family dinner at roadside stall urgent,170,Food,expense,2025-10-25
Salary credited for June 2026 completed,114410,Salary,income,2023-03-31
New outfit purchased from H&M,38678,Shopping,expense,2025-10-23
salary credited for July 2024,198061,Salary,income,2024-07-29
Gym membership fee - noted,23733,Others,expense,2025-09-22
Salary credited for November 2025 for family,142661,Salary,income,2023-04-02
studio apartment rent payment completed,14710,Rent,expense,2025-08-28
board game cafe outing today,1169,Entertainment,expense,2025-05-16
Salary credited for June 2026 done,109737,Salary,income,2023-12-04
local train ticket purchase,14452,Travel,expense,2023-09-05
salary credited to savings account - noted,165052,Salary,income,2026-05-31
Old bond maturity amount credited - paid online,15862,Others,income,2026-04-12
Evening snacks at college canteen for family,2116,Food,expense,2026-01-15
Salary credited for February 2024 - noted,14244,Salary,income,2024-09-10
Rent paid for July,27898,Rent,expense,2024-03-29
Kitchen appliances purchased confirmed,12584,Shopping,expense,2024-03-06
gaming subscription renewal - noted,9325,Entertainment,expense,2023-01-26
Salary credited for August 2023 completed,138234,Salary,income,2026-05-15
LPG GAS CYLINDER BOOKING,21507,Others,expense,2023-07-16
Uber ride to client meeting,2433,Travel,expense,2026-03-14
karaoke night with friends (cash),6275,Entertainment,expense,2024-05-24
Flight ticket booking to Hyderabad,10232,Travel,expense,2025-11-08
Salon haircut and grooming this month,26298,Others,expense,2023-04-09
shopping at westside,34350,Shopping,expense,2025-01-30
Personal loan EMI paid,26473,Others,expense,2023-03-17
Office rent paid completed,26932,Rent,expense,2024-06-16
Freelance website payment received - noted,14847,Others,income,2023-06-23
Bought books online - paid online,24915,Shopping,expense,2024-07-23
New gadget purchased at Apple Store urgent,31560,Shopping,expense,2023-11-20
Movie tickets at INOX this month,5463,Entertainment,expense,2026-05-05
Breakfast at office canteen again,1795,Food,expense,2025-10-06
Monthly rent paid to flat owner via GPay,29352,Rent,expense,2025-07-14
Movie tickets at PVR done,2994,Entertainment,expense,2023-09-08
late night Starbucks order,459,Food,expense,2024-10-16
Home Wifi bill payment completed,30797,Others,expense,2024-04-10
RAPIDO BIKE RIDE TO COLLEGE,4497,Travel,expense,2023-03-10
Rent paid for May urgent,21839,Rent,expense,2023-01-30
Salary credited for September 2025 urgent,121595,Salary,income,2024-11-22
Gym membership fee for family,18268,Others,expense,2024-11-28
Rent split with roommate paid today,29681,Rent,expense,2026-04-08
dinner at college canteen,2141,Food,expense,2026-07-04
Rented apartment monthly dues - noted,38849,Rent,expense,2026-01-02
New outfit purchased from Westside for family,32486,Shopping,expense,2026-01-26
New outfit purchased from Pantaloons via GPay,47959,Shopping,expense,2023-09-17
Monthly grocery haul at local vegetable market again,1532,Food,expense,2024-09-27
Monthly salary credited via UPI,142224,Salary,income,2024-10-29
LPG gas cylinder booking,4802,Others,expense,2024-06-21
Bus ticket to Pune via UPI,8948,Travel,expense,2025-03-23
furniture bought for new house,6202,Shopping,expense,2023-01-08
Shoes bought from store done,3133,Shopping,expense,2023-11-16
House rent for April this month,33005,Rent,expense,2026-02-01
New outfit purchased from Allen Solly for family,21181,Shopping,expense,2026-01-11
Purchased home decor items for family,9526,Shopping,expense,2023-02-03
Ola cab booking to hospital (cash),15008,Travel,expense,2025-10-25
Family movie night at INOX confirmed,2551,Entertainment,expense,2023-12-31
Temple donation for family,37754,Others,expense,2025-03-30
Monthly pay credited to account - noted,186158,Salary,income,2024-10-10
SALARY CREDITED FOR OCTOBER 2023,97777,Salary,income,2026-05-13
Wow Momo lunch order,544,Food,expense,2026-05-06
train ticket booked to ahmedabad via irctc,10664,Travel,expense,2023-07-25
College tuition fee paid (cash),10341,Others,expense,2025-01-30
Weekend brunch at friend's place,1308,Food,expense,2024-11-24
late night KFC order,406,Food,expense,2025-08-19
Bought electronics from Apple Store,7264,Shopping,expense,2025-10-11
cab fare to mumbai for business trip,14099,Travel,expense,2024-01-05
family dinner at dhaba,1611,Food,expense,2025-08-15
rapido bike ride to client meeting,7324,Travel,expense,2024-06-28
Amusement park tickets today,9628,Entertainment,expense,2024-03-27
Winter clothes bought from Max Fashion via GPay,30178,Shopping,expense,2023-08-16
Dividend received from mutual funds - paid online,31473,Others,income,2025-03-26
Movie tickets at INOX confirmed,1219,Entertainment,expense,2024-12-23
Hostel rent payment today,17442,Rent,expense,2024-08-19
movie tickets at inox urgent,5879,Entertainment,expense,2024-02-06
EatSure lunch order this month,930,Food,expense,2023-10-06
House maintenance charges paid for family,26490,Others,expense,2024-10-26
Commission received from sale via GPay,24188,Others,income,2025-12-31
Salary credited after tax deduction urgent,157092,Salary,income,2026-01-13
Rent split with roommate paid - noted,39432,Rent,expense,2024-03-26
Weekend movie outing at INOX - paid online,8390,Entertainment,expense,2025-12-31
loan emi payment today,23917,Others,expense,2023-06-15
Ola cab booking to mall done,2737,Travel,expense,2026-03-18
Rapido bike ride to hospital for family,16486,Travel,expense,2026-06-02
Bought clothes from Levis confirmed,26787,Shopping,expense,2024-02-24
Flat rent for the month of January via UPI,16758,Rent,expense,2023-07-02
house rent for august,27179,Rent,expense,2026-02-01
Evening snacks at highway dhaba confirmed,1725,Food,expense,2026-07-25
bought clothes from uniqlo,13871,Shopping,expense,2024-06-08
Flat rent for the month of June this month,34651,Rent,expense,2025-10-11
Festive sale shopping on Flipkart completed,18496,Shopping,expense,2024-10-08
Home Wifi bill payment again,19302,Others,expense,2025-08-22
refund from flipkart order confirmed,28184,Others,income,2023-03-22
Bus ticket to Mumbai via GPay,8605,Travel,expense,2025-11-29
uber ride to client meeting - noted,5930,Travel,expense,2024-07-07
Refund received from Amazon via UPI,9925,Others,income,2024-11-27
Salary plus incentive credited via GPay,130426,Salary,income,2024-01-14
Rent paid via bank transfer - noted,8936,Rent,expense,2024-06-12
school fees paid,35832,Others,expense,2024-04-17
RENT PAID FOR APRIL,34975,Rent,expense,2026-04-21
Credit card bill payment via PhonePe,11636,Others,expense,2026-08-06
Video game purchase on Steam - noted,4690,Entertainment,expense,2025-05-15
freelance graphic design payment received done,20460,Others,income,2023-08-17
Shoes bought from store this month,45903,Shopping,expense,2026-01-15
Ajio shopping haul via PhonePe,11803,Shopping,expense,2025-05-22
salary credited for june 2023,60453,Salary,income,2023-04-17
EatSure lunch order - paid online,2263,Food,expense,2025-01-10
School fees paid via UPI completed,7087,Others,expense,2026-03-21
LUNCH WITH FRIENDS AT FRIEND'S PLACE,962,Food,expense,2024-12-03
video game purchase on Steam for family,3832,Entertainment,expense,2026-08-07
Uber ride to friend's house this month,800,Travel,expense,2023-11-28
Studio apartment rent payment for family,32152,Rent,expense,2025-04-03
amazon Prime Video subscription,6822,Entertainment,expense,2025-08-31
dominos order for family,2381,Food,expense,2026-02-10
Consulting salary credited done,191349,Salary,income,2023-07-03
Rent paid to broker confirmed,42407,Rent,expense,2024-01-05
shopping at Levis,32768,Shopping,expense,2025-02-06
Bought gifts for friend's wedding via PhonePe,25973,Shopping,expense,2024-07-29
Family movie night at PVR this month,6185,Entertainment,expense,2024-09-04
Insurance premium paid (cash),14732,Others,expense,2023-02-28
Festive sale shopping on Meesho urgent,39156,Shopping,expense,2025-11-17
Bought clothes from Van Heusen today,13062,Shopping,expense,2025-04-11
Property tax paid again,29200,Others,expense,2023-05-23
Evening snacks at roadside stall via GPay,271,Food,expense,2024-10-08
jio recharge again,21220,Others,expense,2023-11-22
Movie tickets at PVR via GPay - noted,5529,Entertainment,expense,2024-12-05
House rent for March done,12011,Rent,expense,2024-10-29
Flat rent for the month of February completed,42065,Rent,expense,2025-06-12
FASTag recharge completed,4008,Travel,expense,2025-11-01
Salary credited for November 2026 completed,183707,Salary,income,2026-01-12
Freelance writing payment received via PhonePe,17058,Others,income,2024-02-02
shopping at Zara,15549,Shopping,expense,2023-04-03
airtel mobile recharge,38851,Others,expense,2024-06-25
Flat rent for the month of July completed,39059,Rent,expense,2026-07-18
Flat rent for the month of September this month,21315,Rent,expense,2025-02-27
Shared flat rent contribution confirmed,44471,Rent,expense,2025-02-20
train ticket booked to Jaipur via IRCTC,9947,Travel,expense,2025-06-25
Behrouz Biryani dinner order completed,2443,Food,expense,2026-06-01
Airport cab prebooked via GPay,10702,Travel,expense,2025-01-14
Weekend movie outing at INOX confirmed,4500,Entertainment,expense,2024-10-07
movie tickets at cinepolis this month,7033,Entertainment,expense,2025-10-14
SHOPPING AT VAN HEUSEN,2970,Shopping,expense,2023-05-18
rent due cleared for this month this month,25596,Rent,expense,2023-09-11
Online order from Snapdeal,48779,Shopping,expense,2026-01-06
Shopping at Pantaloons via GPay,20956,Shopping,expense,2025-02-20
Shopping at Zara today,16280,Shopping,expense,2023-10-26
flat rent for the month of may again,5845,Rent,expense,2023-10-08
freelance writing payment received again,12956,Others,income,2024-03-31
WEEKEND MOVIE OUTING AT CARNIVAL CINEMAS for family,9051,Entertainment,expense,2023-06-08
dividend received from mutual funds again,14906,Others,income,2025-10-30
Medicine purchase from pharmacy,32389,Others,expense,2026-04-23
SALARY CREDITED FOR OCTOBER 2026,188537,Salary,income,2023-10-29
NEW GADGET PURCHASED AT CROMA,43757,Shopping,expense,2024-02-07
Car insurance premium paid via PhonePe,37806,Others,expense,2026-08-18
Gaming subscription renewal confirmed,4327,Entertainment,expense,2023-11-17
Salary credited for November 2024 today,152482,Salary,income,2024-07-01
Bike fuel expense again,14691,Travel,expense,2026-05-21
Sold old furniture - payment received via GPay,37734,Others,income,2024-01-16
Online order from Meesho - noted,6497,Shopping,expense,2025-02-17
monthly grocery haul at more supermarket via PhonePe,2389,Food,expense,2024-01-10
amusement park tickets - noted,5139,Entertainment,expense,2025-06-24
Salary credited by HR department - noted,130248,Salary,income,2025-03-21
Tax refund credited for family,27319,Others,income,2023-01-19
Winter clothes bought from Uniqlo this month,22463,Shopping,expense,2025-07-14
Health insurance premium paid done,23876,Others,expense,2024-10-11
Cab fare to Chennai for business trip this month,15130,Travel,expense,2023-05-17
advance rent paid for new flat again,6932,Rent,expense,2024-10-14
airport cab prebooked,14887,Travel,expense,2026-03-06
YouTube Premium subscription this month,2087,Entertainment,expense,2024-05-31
HOTSTAR SUBSCRIPTION RENEWAL done,3925,Entertainment,expense,2024-09-20
family movie night at pvr (cash),9200,Entertainment,expense,2026-06-03
Train ticket booked to Kolkata via IRCTC again,4093,Travel,expense,2026-02-15
Flat rent for the month of May (cash),30394,Rent,expense,2024-01-24
Rapido bike ride to market,6169,Travel,expense,2023-02-23
Purchased home decor items confirmed,4847,Shopping,expense,2023-10-27
bus ticket to ahmedabad,12256,Travel,expense,2026-08-02
Salary credited for November 2026 - noted,184685,Salary,income,2025-09-14
Quick snack from Barista this month,1010,Food,expense,2024-12-28
Movie tickets at INOX urgent,5742,Entertainment,expense,2024-11-21
Movie tickets at Cinepolis via PhonePe,3821,Entertainment,expense,2025-10-22
salary credited for september 2024 via GPay,104921,Salary,income,2026-01-01
late night Wow Momo order,1904,Food,expense,2024-11-28
Rent paid for May done,36020,Rent,expense,2023-08-28
Nykaa purchase this month,14998,Shopping,expense,2026-08-04
Internship stipend credited (cash),182234,Salary,income,2024-05-11
Standup comedy show tickets,9456,Entertainment,expense,2025-07-29
ANNUAL INCREMENT SALARY CREDITED confirmed,197371,Salary,income,2023-02-18
Ola cab booking to friend's house for family,14840,Travel,expense,2026-03-20
BOUGHT CLOTHES FROM WESTSIDE completed,4531,Shopping,expense,2024-03-24
LPG gas cylinder booking via UPI,9742,Others,expense,2023-11-23
Family dinner at hotel restaurant,882,Food,expense,2023-06-25
Movie tickets at Carnival Cinemas via GPay,8048,Entertainment,expense,2024-11-24
Starbucks dinner order done,178,Food,expense,2024-04-12
Flipkart purchase,36898,Shopping,expense,2024-02-13
Cab fare to Chennai for business trip,15053,Travel,expense,2023-03-15
Quick snack from Wow Momo,1658,Food,expense,2025-09-03
salary credited for march 2025,122634,Salary,income,2026-05-07
SHOPPING AT WESTSIDE via GPay,39751,Shopping,expense,2023-11-14
Bought clothes from Pantaloons urgent,1799,Shopping,expense,2024-07-10
theme park annual pass - paid online,2627,Entertainment,expense,2025-05-13
donation to charity urgent,5930,Others,expense,2024-01-16
new outfit purchased from max fashion,12139,Shopping,expense,2025-09-25
Cake ordered for birthday via GPay,2301,Food,expense,2023-10-05
Flight ticket booking to Lucknow,7387,Travel,expense,2026-07-12
Shoes bought from store urgent,14503,Shopping,expense,2025-05-23
tax refund credited urgent,6853,Others,income,2024-09-24
Salary credited for June 2025 today,29333,Salary,income,2024-12-27
House rent for October this month,32884,Rent,expense,2023-10-02
overtime pay credited - noted,188524,Salary,income,2025-05-01
CAR INSURANCE PREMIUM PAID (cash),25547,Others,expense,2023-07-26
Salary arrears credited,27138,Salary,income,2023-08-31
